Date,Open,High,Low,Close,Volume,Stock,MA20,Daily_Return,Quantity,Investment_Value
2026-02-06,4151.035707048496,4197.05605856788,4114.219425832988,4169.44384765625,59930200,BBNI,4133.087609863282,-0.8752649627020714,80,333555.5078125
2026-02-09,4206.260097267354,4206.260097267354,4095.811254450705,4160.23974609375,51513700,BBNI,4148.734533691406,-0.22075130158363265,80,332819.1796875
2026-02-10,4160.239714696508,4178.647855027023,4123.423434035477,4151.03564453125,38280100,BBNI,4162.0804443359375,-0.2212396910813208,80,332082.8515625
2026-02-11,4141.831479753767,4151.035549708775,4105.015199933733,4123.42333984375,54082900,BBNI,4168.523291015625,-0.6651907391804213,80,329873.8671875
2026-02-12,4123.423434035477,4151.03564453125,4114.219363870219,4151.03564453125,27571700,BBNI,4175.426342773438,0.6696451567484774,80,332082.8515625
2026-02-13,4151.035549708775,4151.035549708775,4114.219269888742,4123.42333984375,25116200,BBNI,4172.665112304688,-0.6651907391804213,80,329873.8671875
2026-02-18,4151.035581457058,4178.647791533268,4123.423371380846,4132.62744140625,38802300,BBNI,4166.682470703125,0.22321505224949245,80,330610.1953125
2026-02-19,4160.239523349719,4187.851732575491,4095.81103515625,4095.81103515625,54011700,BBNI,4161.1600341796875,-0.8908716493803315,80,327664.8828125
2026-02-20,4095.8110985126536,4141.831447934144,4068.1988888597593,4114.21923828125,48070400,BBNI,4155.63759765625,0.4494397560579344,80,329137.5390625
2026-02-23,4114.219332682292,4151.035613064236,4105.015262586806,4141.83154296875,34453500,BBNI,4151.495776367187,0.6711432495035252,80,331346.5234375
2026-02-24,4123.423244382022,4132.627314123946,4077.4028956724014,4095.81103515625,58150200,BBNI,4144.592724609375,-1.1111149097945638,80,327664.8828125
2026-02-25,4114.219332682292,4160.2396831597225,4086.607122395834,4141.83154296875,53012100,BBNI,4143.212109375,1.1235993901448138,80,331346.5234375
2026-02-26,4141.831415971833,4151.035485785103,4068.198857465667,4105.01513671875,53377800,BBNI,4141.3712890625,-0.8888919278356555,80,328401.2109375
2026-02-27,4105.015191095526,4105.015191095526,4049.790771484375,4049.790771484375,83010300,BBNI,4139.53046875,-1.3452901729984146,80,323983.26171875
2026-03-02,4003.7703488372094,4031.382558139535,3957.75,3957.75,77493000,BBNI,4134.008020019532,-2.272729053867617,80,316620.0
2026-03-03,3966.954069767442,4012.974418604651,3957.75,3957.75,34412500,BBNI,4125.264147949219,0.0,80,316620.0
2026-03-04,3939.341872176205,3948.545941971009,3792.0767554593376,3819.68896484375,101732000,BBNI,4109.157019042968,-3.4883718061082702,80,305575.1171875
2026-03-05,3884.117619879892,3976.15832177278,3865.709479501314,3939.342041015625,52177600,BBNI,4094.89072265625,3.132534540721954,80,315147.36328125
2026-03-06,3930.137939453125,3957.750149800571,3874.9135187582337,3930.137939453125,47786400,BBNI,4078.3234008789063,-0.2336456562204714,80,314411.03515625
2026-03-09,3819.688922730915,3985.36217721081,3801.28078334426,3948.5458984375,102376100,BBNI,4065.437707519531,0.4683794632138749,80,315883.671875
2026-03-10,4003.770468268596,4022.178608352589,3911.729767848629,3920.933837890625,66622300,BBNI,4053.01220703125,-0.6992969375840707,80,313674.70703125
2026-03-11,3957.7499681308273,3985.36217721081,3939.341828744172,3948.5458984375,54719700,BBNI,4042.4275146484374,0.7042215372277116,80,315883.671875
2026-03-12,3957.750181394202,4003.770532340647,3930.137970826336,3939.342041015625,87013000,BBNI,4031.8428344726562,-0.23309485716037637,80,315147.36328125
2026-03-13,3948.5459842322007,3966.954124018831,3884.1174949789943,3902.525634765625,99440600,BBNI,4020.79794921875,-0.9345826248818967,80,312202.05078125
2026-03-16,3911.729713722512,3994.5663429542815,3893.3215738932295,3976.158203125,126138200,BBNI,4012.0540771484375,1.8867926889043263,80,318092.65625
2026-03-17,3985.362250742988,4040.586669921875,3976.158180879841,4040.586669921875,209818800,BBNI,4007.912243652344,1.6203698018413482,80,323246.93359375
2026-03-25,4050.0,4090.0,3980.0,4040.0,247976300,BBNI,4003.280871582031,-0.014519424276726589,80,323200.0
2026-03-26,4050.0,4060.0,3970.0,4000.0,90175900,BBNI,3998.4903198242187,-0.990099009900991,80,320000.0
2026-03-27,3980.0,3990.0,3900.0,3900.0,76824500,BBNI,3987.7793579101562,-2.500000000000002,80,312000.0
2026-03-30,3860.0,3860.0,3780.0,3850.0,82872100,BBNI,3973.187780761719,-1.2820512820512775,80,308000.0
2026-03-31,3850.0,3880.0,3760.0,3760.0,76852900,BBNI,3956.3972290039064,-2.3376623376623384,80,300800.0
2026-04-01,3830.0,3840.0,3720.0,3720.0,88881000,BBNI,3935.3056518554686,-1.0638297872340385,80,297600.0
2026-04-02,3730.0,3750.0,3690.0,3700.0,53750100,BBNI,3915.054895019531,-0.5376344086021501,80,296000.0
2026-04-06,3700.0,3720.0,3630.0,3640.0,45425200,BBNI,3894.5653564453123,-1.6216216216216162,80,291200.0
2026-04-07,3640.0,3660.0,3510.0,3510.0,101448300,BBNI,3872.1778564453125,-3.57142857142857,80,280800.0
2026-04-08,3650.0,3800.0,3630.0,3780.0,112845200,BBNI,3863.2903564453127,7.692307692307687,80,302400.0
2026-04-09,3760.0,3770.0,3680.0,3710.0,55090400,BBNI,3857.805908203125,-1.851851851851849,80,296800.0
2026-04-10,3730.0,3820.0,3700.0,3730.0,58848500,BBNI,3847.3388061523438,0.5390835579514919,80,298400.0
2026-04-13,3710.0,3710.0,3660.0,3680.0,36975400,BBNI,3834.8319091796875,-1.3404825737265424,80,294400.0
2026-04-14,3740.0,3780.0,3710.0,3740.0,51368500,BBNI,3824.4046142578127,1.6304347826086918,80,299200.0
2026-04-15,3770.0,3790.0,3660.0,3670.0,57711000,BBNI,3811.8579223632814,-1.8716577540106916,80,293600.0
2026-04-16,3700.0,3700.0,3660.0,3700.0,30456000,BBNI,3799.430627441406,0.8174386920980936,80,296000.0
2026-04-17,3690.0,3740.0,3690.0,3710.0,22706000,BBNI,3787.963525390625,0.2702702702702675,80,296800.0
2026-04-20,3710.0,3730.0,3660.0,3670.0,36946800,BBNI,3776.3372436523437,-1.0781671159029615,80,293600.0
2026-04-21,3670.0,3730.0,3660.0,3730.0,30514900,BBNI,3764.029333496094,1.6348773841961872,80,298400.0
2026-04-22,3750.0,3840.0,3740.0,3830.0,58900700,BBNI,3753.5,2.680965147453085,80,306400.0
2026-04-23,3850.0,3890.0,3820.0,3870.0,56532500,BBNI,3745.0,1.0443864229765065,80,309600.0
2026-04-24,3850.0,3860.0,3720.0,3770.0,53993700,BBNI,3733.5,-2.5839793281653756,80,301600.0
2026-04-27,3790.0,3800.0,3720.0,3720.0,27549200,BBNI,3724.5,-1.326259946949604,80,297600.0
2026-04-28,3750.0,3790.0,3680.0,3790.0,31602700,BBNI,3721.5,1.8817204301075252,80,303200.0
2026-04-29,3810.0,3840.0,3770.0,3800.0,27956600,BBNI,3723.5,0.26385224274405594,80,304000.0
2026-04-30,3790.0,3800.0,3720.0,3720.0,57549500,BBNI,3723.5,-2.1052631578947323,80,297600.0
2026-05-04,3780.0,3860.0,3760.0,3840.0,39293500,BBNI,3730.5,3.2258064516129004,80,307200.0
2026-05-05,3840.0,3970.0,3810.0,3920.0,52767900,BBNI,3744.5,2.083333333333326,80,313600.0
2026-05-06,3920.0,3930.0,3800.0,3830.0,41949100,BBNI,3760.5,-2.2959183673469385,80,306400.0
2026-05-07,3880.0,3990.0,3860.0,3980.0,56083300,BBNI,3770.5,3.9164490861618884,80,318400.0
2026-05-08,3980.0,3990.0,3860.0,3860.0,58943300,BBNI,3778.0,-3.015075376884424,80,308800.0
